HIP17678;56.80929829;-74.23924247;14.98;50.48;115.57;0;3.342
HIP17702;56.87110063;24.10524181;8.42;19.97;-44.67;0;2.848
HIP17797;57.14927354;-37.62012495;9.84;71.95;-10.32;0;4.2697
HIP17847;57.29054648;24.05352388;8.07;18.81;-45.71;0;3.6084
HIP17874;57.36367029;-36.20011235;15.23;-46.99;-53.07;0;4.328
HIP17884;57.38035568;65.52600645;3.72;-1.54;-14.01;0;4.3978
HIP18102;58.03296734;-3.59684307;12.24;-24.32;-37.33;0;7.8477
HIP18246;58.53299358;31.88365772;3.72;6.25;-9.1;0;2.898
HIP18255;58.57287264;-2.95473339;13.11;22.47;0.99;0;4.6015
HIP18532;59.46342097;40.01027277;8.58;19.02;-25.59;0;2.8348
HIP18543;59.50720864;-13.50824467;14.69;61.48;-111.19;0;3.0703
HIP18597;59.68640656;-61.40015067;6.05;9.18;-13.93;0;4.6497
HIP18724;60.17008604;12.49037569;7.27;-6.58;-12.72;0;3.3774
HIP18744;60.22418771;-62.15936924;6.66;1.5;35.24;0;4.5139
HIP18772;60.32529618;-61.07905152;9.77;66.24;94.59;0;5.1069
HIP18907;60.78907009;5.98930905;25.34;4.66;-3.91;0;3.9203
HIP19038;61.17357447;22.08206792;18.4;90.63;-58.82;0;4.5241
HIP19587;62.96638823;-6.83777872;25.89;9.8;82.01;0;4.1285
HIP19740;63.48496238;9.2638936;11.91;-10.69;-27.58;0;4.9876
HIP19747;63.50033877;-42.29387292;27.89;42.05;-203;0;4.0124
HIP19752;63.51479366;-15.99312709;0.22;2.24;9.23;0;7.274
HIP19777;63.59872017;-10.25588916;11.51;-8.51;-162.68;0;5.0352
HIP19780;63.60596363;-62.47397909;19.64;40.76;52.62;0;3.4953
HIP19812;63.72440727;48.40937309;4.55;6.56;-17.09;0;4.287
HIP19860;63.88352176;8.89240981;7.37;20.62;-22.17;0;4.2656
HIP19893;64.00621426;-51.48709579;49.31;100.4;184.37;0;4.3338
HIP19921;64.12118137;-59.30174844;54.91;-48.13;-167.14;0;4.5977
HIP20042;64.47341066;-33.79833141;18.22;62.25;-5.75;0;3.5167
HIP20075;64.56697519;-20.71530629;3.27;3.9;19;0;5.9987
HIP20205;64.94805797;15.6277003;21.69;116;-23.61;0;3.8123
HIP20455;65.7334472;17.54258439;20.75;107.9;-28.22;0;3.9308
HIP20535;66.00902222;-34.01698617;11.07;66.15;52.18;0;4.0941
HIP20635;66.34207813;22.29398087;21.39;104.23;-45.29;0;4.2573
HIP20648;66.37215413;17.92798929;22.48;108.15;-30.87;0;4.3212
HIP20711;66.57664487;22.81369391;20.93;107.87;-47.07;0;4.3556
HIP20713;66.58613186;15.61834722;18.71;113.35;-22.4;0;4.5524
HIP20732;66.65156986;14.71385765;7.2;-8.74;-31.01;0;4.8523
HIP20877;67.10985479;16.35962904;16.72;8.33;18.07;0;5.1264
HIP20885;67.14346757;15.96221665;24.82;107.11;-28.72;0;4.0043
HIP20889;67.15388876;19.18052094;21.35;107.84;-36.02;0;3.6992
HIP20894;67.16531229;15.87094691;20.81;107.34;-23.49;0;3.4597
HIP21139;67.96945626;-0.04399117;4.24;-1.97;-8.37;0;5.0807
HIP21248;68.37762287;-29.76583181;26.07;-114.91;-271.8;0;4.6619
HIP21273;68.46189657;14.84448755;21.15;103.32;-24.94;0;4.7186
